session_id,label,f1,f2,f3,f4,f5,roll,pitch,yaw,gx,gy,gz
rest,Rest,0.0,0.0,0.0,0.0,0.0,0.078,-0.32,0.345,1.485,-0.735,0.964
rest,Rest,0.0,0.0,0.0,0.0,0.0,0.069,-0.319,0.343,-0.121,0.311,-0.453
rest,Rest,0.0,0.0,0.0,0.0,0.0,0.057,-0.319,0.322,-0.825,1.032,-1.177
rest,Rest,0.0,0.0,0.0,0.0,0.0,0.049,-0.316,0.271,-2.134,1.248,-1.402
rest,Rest,0.0,0.0,0.0,0.0,0.0,0.038,-0.308,0.159,-3.294,1.487,-2.514
rest,Rest,0.0,0.0,0.0,0.0,0.0,0.021,-0.297,-0.03,-3.009,1.549,-2.934
rest,Rest,0.0,0.0,0.0,0.0,0.0,0.001,-0.285,-0.277,-1.874,1.201,-1.95
rest,Rest,0.0,0.0,0.0,0.0,0.0,-0.014,-0.276,-0.494,-1.315,0.973,-1.405
rest,Rest,0.0,0.0,0.0,0.0,0.0,-0.03,-0.27,-0.646,-0.054,0.693,-0.601
rest,Rest,10.053,0.0,0.0,191.584,0.0,-0.046,-0.264,-0.752,-0.297,0.781,-0.756
rest,Rest,139.562,46.421,52.152,481.198,50.719,-0.064,-0.257,-0.826,-0.099,0.909,-1.199
rest,Rest,234.351,126.914,110.278,625.947,72.582,-0.079,-0.249,-0.878,0.004,1.237,-1.111
rest,Rest,233.168,93.895,141.835,458.837,54.929,-0.094,-0.239,-0.915,0.915,1.554,-0.796
rest,Rest,175.913,70.658,108.422,333.97,40.84,-0.102,-0.228,-0.94,2.218,2.495,-0.667
rest,Rest,119.836,47.897,75.359,214.946,27.17,-0.097,-0.213,-0.958,3.052,2.95,-0.419
rest,Rest,74.043,28.952,48.203,127.705,15.717,-0.077,-0.189,-0.971,2.516,3.176,-0.941
rest,Rest,44.249,15.947,28.861,77.168,9.372,-0.044,-0.157,-0.98,1.115,2.671,-1.322
rest,Rest,28.388,11.31,17.474,54.741,6.577,-0.011,-0.119,-0.986,-1.066,2.15,-1.533
rest,Rest,20.14,8.025,12.395,38.847,4.667,0.016,-0.078,-0.99,-0.325,1.479,-0.483
rest,Rest,14.294,5.696,8.796,27.578,3.313,0.039,-0.034,-0.993,-0.452,1.427,-0.269
rest,Rest,10.149,4.045,6.245,19.586,2.352,0.052,0.012,-0.995,0.024,1.264,-0.862
rest,Rest,7.209,2.873,4.435,13.916,1.671,0.057,0.056,-0.997,0.726,0.75,-0.997
rest,Rest,5.123,2.042,3.151,9.891,1.188,0.059,0.093,-0.998,0.166,0.277,-1.36
rest,Rest,3.641,1.451,2.24,7.033,0.844,0.058,0.124,-0.998,-0.305,-0.504,-1.395
rest,Rest,2.59,1.032,1.593,5.003,0.601,0.055,0.148,-0.999,-0.197,-1.343,-1.631
rest,Rest,1.842,0.735,1.133,3.56,0.427,0.054,0.162,-0.999,0.162,-2.473,-1.875
rest,Rest,1.311,0.523,0.806,2.535,0.304,0.05,0.163,-0.999,-0.371,-2.905,-0.879
rest,Rest,0.934,0.372,0.574,1.805,0.217,0.044,0.152,-1.0,-0.765,-2.835,-0.781
rest,Rest,0.665,0.265,0.409,1.286,0.154,0.037,0.128,-1.0,-0.535,-2.606,0.037
rest,Rest,0.774,0.31,0.472,47.242,0.181,0.029,0.097,-1.0,-0.269,-1.77,0.201
rest,Rest,97.441,0.226,0.344,400.875,19.565,0.016,0.061,-1.0,-0.064,-1.329,-0.157
rest,Rest,241.863,94.756,28.256,680.712,92.267,-0.0,0.023,-1.0,0.12,-0.029,-0.238
rest,Rest,263.22,70.409,20.993,530.274,68.399,-0.015,-0.007,-1.0,0.223,0.325,0.177
rest,Rest,200.686,53.764,15.979,395.434,51.816,-0.03,-0.03,-1.0,0.992,0.326,0.425
rest,Rest,138.833,37.258,11.075,264.185,35.46,-0.042,-0.046,-1.0,0.439,0.211,0.256
rest,Rest,264.297,73.186,58.781,492.731,100.659,-0.052,-0.056,-1.0,0.461,0.609,0.026
rest,Rest,465.963,228.804,177.207,671.741,146.076,-0.059,-0.063,-1.0,0.125,0.452,-0.28
rest,Rest,340.979,169.373,131.181,527.704,107.669,-0.065,-0.064,-1.0,0.287,0.689,-0.559
rest,Rest,249.051,126.289,98.485,380.932,78.539,-0.067,-0.061,-1.0,0.06,0.958,-1.01
rest,Rest,168.991,86.497,67.093,258.162,52.74,-0.066,-0.056,-1.0,0.116,0.804,-1.392
rest,Rest,103.087,53.695,41.067,157.411,31.373,-0.065,-0.052,-1.0,-0.082,0.527,-1.632
rest,Rest,59.277,29.238,22.438,94.659,18.561,-0.064,-0.048,-1.0,0.132,0.391,-1.536
rest,Rest,53.522,127.011,131.137,120.439,16.768,-0.063,-0.046,-1.0,0.078,0.253,-1.26
rest,Rest,38.894,203.116,275.726,88.123,12.185,-0.062,-0.045,-1.0,0.206,0.198,-0.871
rest,Rest,28.268,267.241,336.901,97.911,8.856,-0.06,-0.043,-1.0,0.113,0.219,-0.73
rest,Rest,20.548,312.278,289.895,96.26,6.437,-0.058,-0.044,-1.0,-0.111,0.235,-0.533
rest,Rest,14.939,226.208,207.978,150.597,4.68,-0.055,-0.045,-1.0,0.149,-0.002,-0.341
rest,Rest,10.862,158.07,142.57,263.369,3.403,-0.052,-0.045,-1.0,0.285,0.017,0.112
rest,Rest,91.346,107.645,94.321,193.302,2.475,-0.049,-0.046,-1.0,0.296,0.158,0.18
rest,Rest,314.949,71.745,63.09,138.705,1.8,-0.046,-0.045,-1.0,0.167,0.073,0.052
rest,Rest,372.425,48.17,44.374,96.899,1.309,-0.044,-0.044,-1.0,0.103,0.02,-0.036
rest,Rest,284.458,27.241,24.881,57.381,0.61,-0.043,-0.044,-1.0,0.047,-0.005,-0.056
rest,Rest,198.526,19.336,17.663,33.054,0.435,-0.042,-0.042,-1.0,0.155,0.006,-0.078
rest,Rest,132.497,18.488,17.034,48.486,0.504,-0.041,-0.042,-1.0,0.269,0.076,-0.024
