session_id,label,flex1,flex2,flex3,flex4,flex5,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
g1,Rest,0,0,0,0,0,-3748,-5056,12060,-1179,885,1623
g1,Rest,0,0,0,0,0,-3800,-5272,12152,1758,-324,1678
g1,Rest,0,0,0,0,0,-4960,-5208,12852,651,-43,1969
g1,Rest,0,0,0,0,0,-5312,-5720,12804,-1090,63,1505
g1,Rest,0,0,0,0,0,-4536,-5596,12500,-652,-1012,450
g1,Rest,0,0,0,0,0,-4620,-5032,12004,-2068,-161,167
g1,Rest,0,0,0,0,0,-4736,-5540,11276,-2462,489,360
g1,Rest,0,0,0,0,0,-5152,-5596,11688,-89,-295,-108
g1,Rest,0,0,0,0,0,-4888,-5568,11848,-791,181,-104
g1,Rest,0,0,0,0,0,-4820,-5500,11792,-1363,258,182
g1,Rest,0,0,0,0,0,-5028,-5780,12156,-1023,-119,30
g1,Rest,0,0,0,0,0,-4712,-5440,11776,-1075,-305,-42
g1,Rest,0,0,0,0,0,-5116,-5568,11696,-251,-491,-272
g1,Rest,0,0,0,0,0,-4840,-5756,11840,-543,-171,13
g1,Rest,0,0,0,0,0,-5224,-5884,12040,-1405,141,556
g1,Rest,0,0,0,0,0,-4536,-6140,11936,-4223,1227,2322
g1,Rest,0,0,0,0,0,-5368,-6584,10456,-3081,157,1443
g1,Rest,0,0,0,0,0,-5572,-6712,11424,1148,-1439,588
g1,Rest,0,0,0,0,0,-5300,-5864,11220,-2595,1074,2268
g1,Rest,0,0,0,0,0,-5968,-5976,10252,83,361,3302
g1,Rest,0,0,0,0,0,-6020,-6072,12052,146,-830,2360
g1,Rest,0,0,0,0,0,-6744,-6160,11540,787,-1916,1436
g1,Rest,0,0,0,0,0,-6608,-4944,11536,-2268,-796,757
g1,Rest,0,0,0,0,0,-6504,-5600,11108,2220,-1804,832
g1,Rest,0,0,0,0,0,-5160,-4924,11904,-1414,-336,885
g1,Rest,0,0,0,0,0,-5332,-4924,11600,653,-980,203
g1,Rest,0,0,0,0,0,-6188,-5296,11640,-1784,160,-215
g1,Rest,0,0,0,0,0,-5676,-4772,11652,-1560,329,-83
g1,Rest,0,0,0,0,0,-6208,-5240,11820,-915,-172,-242
g1,Rest,0,0,0,0,0,-5332,-4508,11952,-1550,-246,1075
g1,Rest,0,0,0,0,0,-5552,-4824,11688,-1027,-1428,1825
g1,Rest,0,0,0,0,0,-5492,-4872,11756,-1640,-1064,1895
g1,Rest,0,0,0,0,0,-5860,-4516,11556,103,-1517,1676
g1,Rest,0,0,0,0,0,-5492,-4220,12028,-893,-979,2111
g1,Rest,0,0,0,0,0,-5312,-4616,12436,-1211,-659,1372
g1,Rest,0,0,0,0,0,-5440,-4012,12020,-707,-185,172
g1,Rest,0,0,0,0,0,-5488,-4212,12136,-751,-150,-216
g1,Rest,0,0,0,0,0,-5556,-4536,11800,-2146,431,-572
g1,Rest,0,0,0,0,0,-5596,-4056,12040,-519,98,-481
g1,Rest,0,0,0,0,0,-5620,-4384,11784,-1150,88,-342
g1,Rest,0,0,0,0,0,-5504,-4264,11888,-375,-182,-89
g1,Rest,0,0,0,0,0,-5384,-4024,12100,-1006,-246,-307
g1,Rest,0,0,0,0,0,-5508,-3724,12480,1075,-971,-589
g1,Rest,0,0,0,0,0,-5188,-4104,11680,-121,-446,95
g1,Rest,0,0,0,0,0,-5236,-3900,12200,-613,-304,-37
g1,Rest,0,0,0,0,0,-5368,-3652,12240,-980,292,288
g1,Rest,0,0,0,0,0,-5316,-3892,12376,-480,-285,-117
g1,Rest,0,0,0,0,0,-5284,-3512,11764,-508,-537,-269
g1,Rest,0,0,0,0,0,-5396,-3496,11640,-424,-451,-344
g1,Rest,0,0,0,0,0,-5228,-3556,12008,-1304,-30,-298
g1,Rest,0,0,0,0,0,-4960,-3628,12300,-867,-19,72
g1,Rest,0,0,0,0,0,-5076,-4016,12560,1386,-731,-350
g1,Rest,0,0,0,0,0,-4864,-3364,12708,57,-111,30
g1,Rest,0,0,0,0,0,-5244,-3804,12076,-672,-544,-543
g1,Rest,0,0,0,0,0,-5032,-4300,12020,-247,-266,-370
g1,Rest,0,0,0,0,0,-5328,-3744,11912,-1180,164,-435
g1,Rest,0,0,0,0,0,-5696,-3928,12488,804,-504,-593
g1,Rest,0,0,0,0,0,-5036,-3644,12628,-519,-217,-492
g1,Rest,0,0,0,0,0,-5204,-3856,12364,25,-637,-994
g1,Rest,0,0,0,0,0,-4772,-4004,12312,-1645,200,-586
g1,Rest,0,0,0,0,0,-4908,-3832,12316,-1649,174,-406
g1,Rest,0,0,0,0,0,-4884,-4448,12332,1263,-918,-635
g1,Rest,0,0,0,0,0,-4900,-3976,12148,-348,-453,-627
g1,Rest,0,0,0,0,0,-4544,-4128,12260,-928,-299,-231
g1,Rest,0,0,0,0,0,-4484,-4084,12608,-449,-357,-25
g1,Rest,0,0,0,0,0,-4588,-4208,12748,-186,-137,-337
g1,Rest,0,0,0,0,0,-4792,-4380,12076,-1102,0,-308
g1,Rest,0,0,0,0,0,-4728,-4248,12156,419,-615,-531
g1,Rest,0,0,0,0,0,-4800,-4204,12300,-685,-153,-349
g1,Rest,0,0,0,0,0,-4636,-4060,12200,-896,-31,-129
g1,Rest,0,0,0,0,0,-4300,-3488,12700,-542,-96,272
g1,Rest,0,0,0,0,0,-4776,-3996,12116,-135,-584,119
g1,Rest,0,0,0,0,0,-4692,-3956,12712,-1447,-105,541
g1,Rest,0,0,0,0,0,-4400,-3776,12648,-230,-430,201
g1,Rest,0,0,0,0,0,-4512,-3928,12564,-1326,242,202
g1,Rest,0,0,0,0,0,-4328,-3732,12556,-74,-325,207
g1,Rest,0,0,0,0,0,-4704,-3716,12604,-821,-203,32
g1,Rest,0,0,0,0,0,-4624,-3672,12556,-748,-304,-127
g1,Rest,0,0,0,0,0,-4652,-3564,12416,-748,-60,-121
g1,Rest,0,0,0,0,0,-4448,-3300,12636,-623,0,148
g1,Rest,0,0,0,0,0,-4676,-3584,12512,-416,-16,529
g1,Rest,0,0,0,0,0,-4516,-3572,12316,-38,138,277
g1,Rest,0,0,0,0,0,-5124,-3812,12768,-548,-129,-146
g1,Rest,0,0,0,0,0,-4848,-3472,12660,-818,-249,9
g1,Rest,0,0,0,0,0,-4480,-3360,12716,-413,76,111
g1,Rest,0,0,0,0,0,-4724,-3528,12876,-516,-87,8
g1,Rest,0,0,0,0,0,-5128,-4028,12564,-1382,-486,-189
g1,Rest,0,0,0,0,0,-4684,-3696,12176,-1346,-394,-32
g1,Rest,0,0,0,0,0,-4640,-3424,12368,-1081,-209,491
g1,Rest,0,0,0,0,0,-4520,-3708,12560,-640,-508,196
g1,Rest,0,0,0,0,0,-4212,-3444,12672,-15,-509,217
g1,Rest,0,0,0,0,0,-4580,-3404,12644,-34,-284,152
g1,Rest,0,0,0,0,0,-4416,-3276,12872,-1115,836,369
g1,Rest,0,0,0,0,0,-4808,-3404,12492,-446,110,391
g1,Rest,0,0,0,0,0,-5424,-3392,12480,-540,-172,412
g1,Rest,0,0,0,0,0,-4596,-3224,13020,272,-277,144
g1,Rest,0,0,0,0,0,-4872,-3236,12356,-1283,150,507
g1,Rest,0,0,0,0,0,-5168,-3264,12596,-709,-115,316
g1,Rest,0,0,0,0,0,-5336,-3084,12788,533,-834,-535
g1,Rest,0,0,0,0,0,-4240,-3228,12928,759,-708,-335
g1,Rest,0,0,0,0,0,-4540,-3588,11968,361,-717,-766
g1,Rest,0,0,0,0,0,-4316,-3404,12964,-1204,-530,-523
g1,Rest,0,0,0,0,0,-4492,-3100,12932,-138,-1098,-507
g1,Rest,0,0,0,0,0,-3880,-3004,12600,-112,-734,-623
